Address,Rent,Size,Rooms
"Grand-Rue 8, 1204 Geneva","CHF 5,250.–",110,4rm
"Rue Rodolphe-Toepffer 17, 1206 Geneva","CHF 7,650.–",141,6rm
"Rue de Lausanne 123, 1202 Genève","CHF 2,500.–",57,2.5rm
"Rue Neuve-du-Molard 5, 1204 Genève","CHF 2,860.–",50,3rm
"Route de Florissant 55, 1206 Genève","CHF 3,430.–",91,4.5rm
"Rue du Lac 14, 1207 Genève","CHF 2,650.–",80,4rm
"Rue Henri-Mussard 24, 1208 Genève","CHF 2,360.–",53,3rm
"Rue Caroline 8, 1227 Carouge GE","CHF 2,370.–",60,3rm
"Rue Caroline 8, 1227 Carouge GE","CHF 2,380.–",65,3rm
1202 Geneva,"CHF 4,133.–",empty,4rm
"Rue Lamartine 32, 1203 Geneva","CHF 1,600.–",36,2rm
"Boulevard de Saint-Georges, 1205 Geneva","CHF 2,100.–",70,3rm
"Tour de Champel 4, 1206 Geneva","CHF 4,600.–",100,4.5rm
"Route de Frontenex 60G, 1207 Geneva","CHF 2,950.–",52,3rm
"Eaux Vives, 1208 Geneva","CHF 6,200.–",140,7rm
1209 Geneva,"CHF 1,800.–",52,2rm
"RUE DU MONT-BLANC 17, 1201 Genf","CHF 2,150.–",36,1rm
1202 Genf,"CHF 1,250.–",empty,2rm
"Rue Henri-Veyrassat 8, 1202 Genf","CHF 1,597.–",48,2rm
"Rue Antoine-Carteret 38, 1202 Genf","CHF 1,665.–",46,2.5rm
"Rue Antoine-Carteret 38, 1202 Genf","CHF 1,907.–",46,2.5rm
"Rue Rothschild 64, 1202 Genf","CHF 2,830.–",75,4rm
"Rue Antoine-Carteret 10, 1202 Genf","CHF 2,845.–",73,4rm
"Rue Rothschild 60, 1202 Genf","CHF 3,025.–",76,4rm
"Rue Antoine-Carteret 10, 1202 Genf","CHF 3,549.–",106,4.5rm
"5129 Joly de la Huchette, 1204 Genf","CHF 1,961.–",empty,empty
"Rue des Chaudronniers 8, 1204 Genf","CHF 2,350.–",40,2rm
"Grand-Rue 17, 1204 Genf","CHF 3,445.–",72,3rm
"Rue Jean-Calvin 9, 1204 Genf","CHF 12,680.–",351,9rm
"RUE JEAN-SENEBIER 18, 1205 Genf","CHF 1,800.–",60,3rm
"Boulevard Carl Vogt 45, 1205 Genf","CHF 2,150.–",55,3rm
"Boulevard Carl Vogt 45, 1205 Genf","CHF 2,150.–",61,3rm
"Avenue du Mail, 1205 Genf","CHF 3,031.–",110,4.5rm
"Place des Philosophes 14, 1205 Genf","CHF 3,150.–",79,4rm
"CHEMIN DES CRETS-DE-CHAMPEL 30-32-36-38+Garage, 1206 Genf","CHF 2,630.–",70,3rm
"Rue des Vollandes 75, 1207 Genf","CHF 1,940.–",22,2rm
"Route de Frontenex 60 B, 1207 Genf","CHF 2,100.–",58,3rm
"Route de Frontenex 60 B, 1207 Genf","CHF 2,344.–",67,3rm
"RUE DU XXXI-DECEMBRE 38, 1207 Genf","CHF 2,440.–",empty,4rm
"Rue des Vollandes 75, 1207 Genf","CHF 2,780.–",48,3rm
"Chemin Neuf 2, 1207 Genf","CHF 3,300.–",91,5rm
"Rue des Maraîchers 46, 1200 Genève","CHF 2,000.–",50,3.5rm
"Rue Gustave-Revilliod 5, 1200 Genève","CHF 2,250.–",empty,4rm
1200 Genève,"CHF 2,755.–",70,3.5rm
1200 Genève,"CHF 3,200.–",65,3rm
1200 Genève,"CHF 3,350.–",90,4rm
1200 Genève,"CHF 4,000.–",125,5rm
1200 Genève,"CHF 4,150.–",144,7rm
1200 Genève,"CHF 4,200.–",125,6rm
1200 Genève,"CHF 4,310.–",130,5.5rm
1200 Genève,"CHF 4,550.–",180,6rm
1200 Genève,"CHF 4,800.–",110,5rm
1200 Genève,"CHF 4,940.–",120,6rm
1200 Genève,"CHF 4,980.–",165,7rm
1200 Genève,"CHF 5,350.–",120,5rm
1200 Genève,"CHF 5,400.–",170,6rm
1200 Genève,"CHF 6,280.–",empty,6rm
1200 Genève,"CHF 8,375.–",240,8rm
1200 Genève,empty,380,10rm
"Rue Charles-Cusin 8, 1201 Genève","CHF 1,050.–",empty,1rm
"Rue de la Servette 23, 1201 Genève","CHF 1,075.–",26,2rm
"Rue Ami-Lévrier 9, 1201 Genève","CHF 1,160.–",21,1.5rm
1201 Genève,"CHF 1,190.–",empty,empty
1201 Genève,"CHF 1,200.–",30,1rm
"Rue de Bâle 16, 1201 Genève","CHF 1,203.–",23,1rm
1201 Genève,"CHF 1,220.–",30,2rm
"Rue de Bâle 16, 1201 Genève","CHF 1,233.–",23,1rm
1201 Genève,"CHF 1,242.–",empty,2rm
"Rue Ami-Lévrier 9, 1201 Genève","CHF 1,265.–",30,1.5rm
"Rue de Bâle 28, 1201 Genève","CHF 1,290.–",30,1rm
"Rue des Pâquis 8, 1201 Genève","CHF 1,310.–",25,1rm
"Rue des Pâquis 8, 1201 Genève","CHF 1,350.–",25,1rm
"Dr-Alfred-Vincent 18, 1201 Genève","CHF 1,360.–",20,1rm
1201 Genève,"CHF 1,385.–",empty,2rm
1201 Genève,"CHF 1,390.–",25,1rm
1201 Genève,"CHF 1,440.–",empty,2.5rm
"Rue Jean-Jaquet 18, 1201 Genève","CHF 1,490.–",32,1rm
"Rue de Bâle 13, 1201 Genève","CHF 1,601.–",38,2.5rm
"Rue de Bâle 16, 1201 Genève","CHF 1,740.–",43,3rm
"Rue Charles-Cusin 10, 1201 Genève","CHF 1,740.–",48,2.5rm
