Address,Rent,Size,Rooms
"Route de Coppet 26A, 1291 Commugny","CHF 2,950.–",114,4.5rm
"Chemin du Molard 14, 1196 Gland","CHF 2,390.–",90,3.5rm
"Chemin du Chaudhey 15 B, 1185 Mont-sur-Rolle","CHF 2,930.–",100,4.5rm
"Chemin de la Fontaine 4, 1260 Nyon","CHF 2,300.–",78,3.5rm
"Rue Délaflechère 3, 1260 Nyon","CHF 2,490.–",70,3.5rm
1260 Nyon,"CHF 5,500.–",200,5.5rm
"Chemin des Pépiniéres 1, 1180 Rolle","CHF 3,800.–",150,5.5rm
"Au Village 7, 1277 Arnex-sur-Nyon","CHF 2,000.–",empty,3.5rm
1273 Arzier-Le Muids,CHF 950.–,27,1rm
"Rue du Village 6b, 1273 Arzier-Le Muids","CHF 1,400.–",40,2rm
"Route de St.Cergue 1, 1273 Arzier-Le Muids","CHF 2,100.–",80,3.5rm
1273 Arzier-Le Muids,"CHF 2,466.–",110,4.5rm
1273 Arzier-Le Muids,"CHF 2,600.–",98,4.5rm
"Chemin du Pré-du-Puits 11, 1273 Arzier-Le Muids","CHF 3,300.–",130,5.5rm
1273 Arzier-Le Muids,"CHF 4,200.–",195,7rm
1273 Arzier-Le Muids,"CHF 5,500.–",240,6.5rm
"Chemin du Châtelard 3, 1268 Begnins","CHF 2,860.–",120,4.5rm
"Le Fort 10, 1268 Begnins","CHF 3,000.–",92,3.5rm
1279 Bogis-Bossey,"CHF 4,100.–",240,8rm
1279 Bogis-Bossey,"CHF 4,300.–",240,10rm
1279 Bogis-Bossey,"CHF 4,300.–",empty,empty
1279 Bogis-Bossey,"CHF 8,000.–",350,8.5rm
"Au Village, 1277 Borex","CHF 2,520.–",80,3rm
"Ch. en Convers 4, 1195 Bursinel","CHF 1,340.–",42,2rm
"10, route de la Gare, 1195 Bursinel","CHF 2,690.–",120,4.5rm
"Route de l'Etraz 1, 1183 Bursins","CHF 6,150.–",240,6.5rm
"Chemin de Chenaud 14, 1183 Bursins","CHF 6,900.–",370,7.5rm
1268 Burtigny,"CHF 2,050.–",125,4.5rm
1279 Chavannes-de-Bogis,"CHF 4,300.–",150,5rm
"Route de Crassier 44, 1275 Chéserex","CHF 1,800.–",empty,3.5rm
"Route de la Tourbière 11 A, 1267 Coinsins","CHF 1,980.–",75,3.5rm
"Chemin de la Glacière 7, 1267 Coinsins","CHF 4,350.–",184,6rm
1267 Coinsins,"CHF 5,400.–",178,5.5rm
"Route de Genève 9A, 1291 Commugny","CHF 3,100.–",128,empty
1291 Commugny,"CHF 5,450.–",190,7rm
1291 Commugny,"CHF 6,500.–",239,8.5rm
1291 Commugny,"CHF 6,500.–",empty,8.5rm
1291 Commugny,"CHF 7,500.–",230,7.5rm
"Ruelle de la Cannebière, 1296 Coppet","CHF 2,350.–",empty,4rm
1296 Coppet,"CHF 4,200.–",135,4.5rm
1296 Coppet,"CHF 10,000.–",350,8rm
"Chemin de Chèvrefeuille 2, 1299 Crans-près-Céligny","CHF 1,520.–",30,2rm
1299 Crans-près-Céligny,"CHF 2,350.–",empty,3.5rm
"Route de la Versoix 3, 1299 Crans-près-Céligny","CHF 3,900.–",empty,5.5rm
1263 Crassier,"CHF 1,980.–",101,4rm
1263 Crassier,"CHF 2,700.–",125,4.5rm
"Route de Bursinel 28, 1195 Dully","CHF 2,770.–",112,4.5rm
"-, 1195 Dully",empty,empty,6.5rm
"Route du Petit-Eysins 30, 1262 Eysins","CHF 2,000.–",empty,4rm
"Route du Petit-Eysins 2, 1262 Eysins","CHF 2,740.–",empty,4.5rm
"3, route de Crans, 1262 Eysins","CHF 3,790.–",180,5.5rm
1262 Eysins,"CHF 3,790.–",180,5.5rm
"Route de Céligny, 1297 Founex","CHF 2,400.–",100,3.5rm
"Rte de Céligny 6B, 1297 Founex","CHF 2,400.–",93,3rm
1297 Founex,"CHF 2,400.–",93,3rm
"54A Grand-Rue, 1297 Founex","CHF 2,516.–",99,3.5rm
"Route de Céligny 6B, 1297 Founex","CHF 2,750.–",93,3.5rm
