Address,Rent,Size,Rooms
"Rue des Bossons 78, 1213 Petit-Lancy","CHF 1,802.–",empty,4rm
"sur demande, 1288 Aire-la-Ville","CHF 2,800.–",120,4.5rm
1285 Athenaz (Avusy),"CHF 5,000.–",160,4.5rm
"Route du Moulin-Roget, 1237 Avully","CHF 3,015.–",115,5rm
1237 Avully,"CHF 15,700.–",570,12rm
"Bernex-En-Combes 30, 1233 Bernex","CHF 1,290.–",35,2rm
1233 Bernex,"CHF 2,210.–",empty,4rm
1233 Bernex,"CHF 2,210.–",empty,4rm
"Ch. de la Vieille Fontaine 3, 1233 Bernex","CHF 2,250.–",66,4rm
"Rue de Bernex 188, 1233 Bernex","CHF 2,920.–",68,5rm
"Chemin de la Distillerie 12A, 1233 Bernex","CHF 3,900.–",151,5rm
1227 Carouge GE,"CHF 1,100.–",empty,2rm
1227 Carouge GE,"CHF 1,290.–",empty,1.5rm
"Rue de la Filature, 1227 Carouge GE","CHF 1,440.–",29,2rm
1227 Carouge GE,"CHF 1,480.–",empty,3.5rm
1227 Carouge GE,"CHF 1,510.–",empty,3rm
1227 Carouge GE,"CHF 1,515.–",empty,2.5rm
"Avenue Cardinal-Mermillod 2, 1227 Carouge GE","CHF 1,590.–",34,1rm
"Rue Ancienne 21, 1227 Carouge GE","CHF 1,650.–",empty,empty
"Rue de la Gabelle 3, 1227 Carouge GE","CHF 1,680.–",44,2rm
"Place du rondeau 8, 1227 Carouge GE","CHF 1,700.–",50,3rm
1227 Carouge GE,"CHF 1,726.–",empty,4rm
1227 Carouge GE,"CHF 1,730.–",empty,3.5rm
1227 Carouge GE,"CHF 1,750.–",35,2rm
"Rue du Marché 8, 1227 Carouge GE","CHF 1,895.–",40,3rm
"Rue du Marché 8, 1227 Carouge GE","CHF 1,895.–",empty,2rm
1227 Carouge GE,"CHF 2,367.–",empty,4rm
"Rue Caroline 8, 1227 Carouge GE","CHF 2,370.–",60,3rm
"Rue Caroline 8, 1227 Carouge GE","CHF 2,380.–",65,3rm
1227 Carouge GE,"CHF 2,400.–",130,5rm
"Carouge, 1227 Carouge GE","CHF 2,590.–",empty,5rm
"3, Rue des Caroubiers, 1227 Carouge GE","CHF 2,720.–",90,4rm
1227 Carouge GE,"CHF 2,990.–",123,6rm
"Place du Marché 4, 1227 Carouge GE","CHF 3,300.–",83,4rm
1227 Carouge GE,"CHF 3,500.–",97,4.5rm
"Route des Acacias 36, 1227 Carouge GE","CHF 3,566.–",109,6rm
1227 Carouge GE,"CHF 3,650.–",80,4.5rm
"sur demande, 1227 Carouge GE","CHF 3,650.–",97,4rm
1227 Carouge GE,"CHF 3,900.–",97,4.5rm
"A Carouge GE, 1227 Carouge GE","CHF 4,500.–",110,4.5rm
"Place du Temple, 1227 Carouge GE","CHF 4,720.–",130,6rm
1227 Carouge GE,"CHF 4,950.–",205,6rm
