Address,Rent,Size,Rooms
"Chemin de la Mousse 15, 1225 Chêne-Bourg","CHF 1,670.–",48,3rm
"Avenue François-Adolphe Grison 20, 1225 Chêne-Bourg","CHF 2,150.–",73,4rm
1245 Collonge-Bellerive,"CHF 20,000.–",500,12rm
"Chemin de Planta 3, 1223 Cologny","CHF 3,925.–",100,4rm
"Route de Corsier 26, 1246 Corsier GE","CHF 1,950.–",65,3rm
"24, rue de l' Aspergière, 1247 Anières","CHF 3,900.–",123,5rm
"Chemin du Nant d'Aisy 26 A, 1247 Anières","CHF 7,500.–",301,8rm
1244 Choulex,"CHF 12,000.–",510,13rm
1244 Choulex,"CHF 12,620.–",450,12rm
"Avenue des Amazones 6, 1224 Chêne-Bougeries","CHF 1,690.–",48,2.5rm
"Chemin de la Gradelle 16, 1224 Chêne-Bougeries","CHF 1,950.–",54,2rm
"Chemin de la Gradelle 16, 1224 Chêne-Bougeries","CHF 2,100.–",50,2rm
1224 Chêne-Bougeries,"CHF 2,400.–",60,2.5rm
1224 Chêne-Bougeries,"CHF 2,400.–",empty,empty
"Chemin de l'Armoise 2, 1224 Chêne-Bougeries","CHF 2,585.–",82,4rm
1224 Chêne-Bougeries,"CHF 2,600.–",60,3rm
"Chemin de la Gradelle 16, 1224 Chêne-Bougeries","CHF 2,600.–",50,3rm
"Chemin de la Montagne 130, 1224 Chêne-Bougeries","CHF 3,365.–",100,5rm
"Chemin des Voirons 20, 1224 Chêne-Bougeries","CHF 4,800.–",125,7rm
"Chemin des Voirons 20, 1224 Chêne-Bougeries","CHF 4,800.–",125,7rm
1224 Chêne-Bougeries,"CHF 5,500.–",200,10rm
"Chemin des Flombards 9, 1224 Chêne-Bougeries","CHF 5,500.–",250,9rm
"Rte de Malagnou 149, 1224 Chêne-Bougeries","CHF 6,000.–",250,6.5rm
1224 Chêne-Bougeries,"CHF 6,500.–",empty,6rm
1224 Chêne-Bougeries,"CHF 7,500.–",218,5rm
1224 Chêne-Bougeries,"CHF 8,600.–",252,5rm
1224 Chêne-Bougeries,"CHF 13,350.–",300,9rm
"Av. Petit Senn, 1225 Chêne-Bourg","CHF 1,580.–",42,2.5rm
"avenue petit senn, 1225 Chêne-Bourg","CHF 1,600.–",41,2.5rm
"Rue de Genève, 1225 Chêne-Bourg","CHF 1,660.–",34,2rm
1225 Chêne-Bourg,"CHF 1,760.–",empty,3.5rm
1225 Chêne-Bourg,"CHF 1,840.–",empty,4rm
"Rue Peillonnex, 1225 Chêne-Bourg","CHF 2,160.–",65,4rm
"Rue Peillonnex, 1225 Chêne-Bourg","CHF 2,160.–",65,4rm
1225 Chêne-Bourg,"CHF 2,580.–",95,4rm
"Rue Peillonnex 26, 1225 Chêne-Bourg","CHF 2,830.–",98,5rm
"Rue Peillonnex 8, 1225 Chêne-Bourg","CHF 3,300.–",empty,6rm
1225 Chêne-Bourg,"CHF 5,800.–",203,8rm
1245 Collonge-Bellerive,"CHF 1,100.–",empty,2.5rm
1223 Cologny,"CHF 2,800.–",80,3rm
1223 Cologny,"CHF 3,290.–",40,1rm
"capite 19, 1223 Cologny","CHF 3,290.–",40,1rm
"A Cologny, 1223 Cologny","CHF 4,200.–",120,5rm
"Plateau de Frontenex 9, 1223 Cologny","CHF 6,780.–",245,7rm
1223 Cologny,"CHF 7,500.–",200,6rm
"2D, chemin de la Mairie, 1223 Cologny","CHF 7,500.–",200,6rm
1223 Cologny,"CHF 12,500.–",260,10rm
1223 Cologny,"CHF 20,000.–",400,10rm
1223 Cologny,"CHF 22,000.–",empty,10rm
1223 Cologny,empty,876,17rm
"Quai de Cologny, 1223 Cologny",empty,870,17rm
"Rampe de Cologny, 1223 Cologny",empty,450,8rm
"Chemin des Bougeries 23A, 1231 Conches","CHF 5,500.–",154,5.5rm
1231 Conches,"CHF 7,850.–",empty,8rm
1231 Conches,"CHF 22,000.–",923,9rm
"Route de Villette 3, 1231 Conches",empty,435,10rm
1231 Conches,empty,435,10rm
"Chemin Pré-Puits 4, 1246 Corsier GE","CHF 1,410.–",38,2.5rm
"A Corsier GE, 1246 Corsier GE","CHF 1,850.–",40,2rm
"QUAI DE CORSIER 14, 1246 Corsier GE","CHF 2,330.–",60,3rm
1248 Hermance,"EUR 2,300.–",140,empty
1248 Hermance,"CHF 3,800.–",97,4rm
"La Renfile, 27, 1254 Jussy","CHF 3,950.–",350,9rm
1254 Jussy,"CHF 3,950.–",220,8rm
1254 Jussy,"CHF 18,000.–",600,13rm
1254 Jussy,"CHF 18,000.–",600,11rm
1226 Thônex,"CHF 1,057.–",empty,1.5rm
1226 Thônex,"CHF 1,070.–",empty,1.5rm
1226 Thônex,"CHF 1,075.–",44,3rm
1226 Thônex,"CHF 1,120.–",30,1.5rm
"Route de Mon-Idée 49, 1226 Thônex","CHF 1,162.–",29,2rm
1226 Thônex,"CHF 1,180.–",empty,2.5rm
1226 Thônex,"CHF 1,200.–",empty,1.5rm
1226 Thônex,"CHF 1,320.–",empty,2rm
"Adrien-Jeandin 16, 1226 Thônex","CHF 1,530.–",41,2rm
1226 Thônex,"CHF 1,620.–",empty,3rm
1226 Thônex,"CHF 1,800.–",empty,3.5rm
1226 Thônex,"CHF 2,050.–",empty,4rm
1226 Thônex,"CHF 2,300.–",empty,5rm
"Avenue de Tronchet 20, 1226 Thônex","CHF 2,385.–",empty,4rm
1226 Thônex,"CHF 2,460.–",empty,5rm
1226 Thônex,"CHF 2,585.–",empty,4rm
"Avenue Adrien-Jeandin 16, 1226 Thônex","CHF 2,950.–",113,5rm
"Avenue Adrien-Jeandin 14, 1226 Thônex","CHF 3,150.–",empty,6rm
"Tronchet 20B, 1226 Thônex","CHF 3,200.–",empty,5rm
"17, avenue Suisse, 1226 Thônex","CHF 4,500.–",130,6rm
"Chemin de Chantemerle 30, 1226 Thônex","CHF 4,900.–",145,7rm
1226 Thônex,"CHF 5,000.–",190,6rm
1226 Thônex,"CHF 6,000.–",200,8rm
"Chemin des Princes, 1253 Vandoeuvres","CHF 12,000.–",400,13rm
1253 Vandoeuvres,"CHF 12,000.–",600,12rm
1253 Vandoeuvres,"CHF 13,000.–",300,10rm
1253 Vandoeuvres,"CHF 13,500.–",255,7rm
1253 Vandoeuvres,empty,empty,13rm
"Route de Thonon 82, 1222 Vésenaz","CHF 1,915.–",50,3rm
"sur demande, 1222 Vésenaz","CHF 2,350.–",63,3rm
"Route de la Capîte 180, 1222 Vésenaz","CHF 2,500.–",84,4rm
1222 Vésenaz,"CHF 2,500.–",84,4rm
"Route de la Capîte 180, 1222 Vésenaz","CHF 3,050.–",84,4rm
1222 Vésenaz,"CHF 4,450.–",110,4rm
