Address,Rent,Size,Rooms
"Avenue Henri Golay 12C, 1219 Châtelaine","CHF 2,700.–",empty,5rm
"Avenue de Vaudagne 42, 1217 Meyrin","CHF 1,825.–",53,3rm
"Route du Mandement 219, 1242 Satigny","CHF 8,100.–",245,9.5rm
1293 Bellevue,"CHF 4,400.–",empty,6rm
1293 Bellevue,"CHF 4,500.–",145,5.5rm
1293 Bellevue,"CHF 5,900.–",empty,8rm
"Ch 20, 1293 Bellevue","CHF 6,500.–",empty,8rm
1293 Bellevue,empty,empty,5.5rm
1292 Chambésy,"CHF 1,900.–",43,2.5rm
"Ch. des Cornillons 70, 1292 Chambésy","CHF 4,110.–",110,4.5rm
1292 Chambésy,"CHF 4,555.–",140,5rm
"Ch. des Cornillons 74, 1292 Chambésy","CHF 5,050.–",150,6.5rm
"Ch. des Cornillons 84, 1292 Chambésy","CHF 5,145.–",155,6.5rm
"Chemin du Petit-Lac, 1292 Chambésy","CHF 5,150.–",125,5rm
"29BIS, route de Pregny, 1292 Chambésy","CHF 5,300.–",193,7rm
"Ch. des Cornillons 92, 1292 Chambésy","CHF 5,315.–",172,6.5rm
"Ch. des Cornillons 70, 1292 Chambésy","CHF 5,425.–",121,6.5rm
"Ch. des Cornillons 96, 1292 Chambésy","CHF 6,230.–",175,7.5rm
"Chemin de l'Impératrice 12, 1292 Chambésy","CHF 6,280.–",190,9rm
"Ch. des Cornillons 84, 1292 Chambésy","CHF 6,525.–",173,6.5rm
"Ch. des Cornillons 104, 1292 Chambésy","CHF 7,663.–",179,7.5rm
"Ch. des Cornillons 106, 1292 Chambésy","CHF 8,256.–",179,7.5rm
"Ch. des Cornillons 86, 1292 Chambésy","CHF 11,190.–",286,9rm
"Chemin des Cornillons 88, 1292 Chambésy","CHF 12,600.–",264,9rm
"A Chambésy, 1292 Chambésy","CHF 16,000.–",300,11.5rm
1292 Chambésy,"CHF 16,000.–",300,empty
1292 Chambésy,empty,empty,empty
"avenue de chatelaine 89, 1219 Châtelaine","CHF 1,500.–",empty,2rm
"Avenue Henri-Golay 12e, 1219 Châtelaine","CHF 1,800.–",60,3rm
"Avenue Henri-Golay 38, 1219 Châtelaine","CHF 1,815.–",47,3rm
"Chemin du Petit-Bois 5, 1219 Châtelaine","CHF 2,120.–",76,4rm
"Chemin du Petit-Bois 5, 1219 Châtelaine","CHF 2,170.–",76,4rm
"Chemin du Petit-Bois 15, 1219 Châtelaine","CHF 2,180.–",76,4rm
"Chemin du Petit-Bois 15, 1219 Châtelaine","CHF 2,220.–",88,5rm
"avenue de chatelaine 89, 1219 Châtelaine",empty,empty,2rm
"Chemin de l'Avanchet 17, 1216 Cointrin","CHF 3,800.–",120,7rm
"Corbillettes, 1216 Cointrin","CHF 5,600.–",120,6rm
"5 Chemin des Coudriers, 1216 Cointrin","CHF 6,000.–",190,7rm
1239 Collex,"CHF 4,800.–",160,6rm
"10, impasse des Barjins, 1239 Collex","CHF 4,800.–",160,6rm
1239 Collex,"CHF 7,500.–",200,8rm
"sur demande, 1239 Collex","CHF 7,500.–",190,8rm
"Route des Coudres 25, 1298 Céligny",CHF 515.–,empty,1rm
"Route de la Plaine, 1283 Dardagny","CHF 1,900.–",65,3rm
1283 Dardagny,"CHF 1,994.–",empty,4rm
"Chemin des Chênes, 1294 Genthod","CHF 6,400.–",empty,6rm
1294 Genthod,"CHF 6,500.–",empty,empty
"La Plaine, 1283 La Plaine","CHF 2,690.–",80,4rm
"Chemin Auguste-Vilbert 34, 1218 Le Grand-Saconnex",CHF 150.–,10,empty
"Chemin François-Lehmann 34, 1218 Le Grand-Saconnex","CHF 1,230.–",50,3rm
"Route de Ferney 208B, 1218 Le Grand-Saconnex","CHF 1,340.–",33,2rm
1218 Le Grand-Saconnex,"CHF 1,470.–",empty,3rm
"Chemin François-Lehman 34, 1218 Le Grand-Saconnex","CHF 1,550.–",52,3rm
"Route de Ferney 208B, 1218 Le Grand-Saconnex","CHF 1,950.–",57,4rm
1218 Le Grand-Saconnex,"CHF 1,965.–",57,3rm
1218 Le Grand-Saconnex,"CHF 2,100.–",57,3.5rm
"Chemin François-Lehmann 34, 1218 Le Grand-Saconnex","CHF 3,020.–",110,6rm
"Chemin du Pommier, 1218 Le Grand-Saconnex","CHF 3,450.–",109,3.5rm
1218 Le Grand-Saconnex,"CHF 3,500.–",100,4rm
1218 Le Grand-Saconnex,"CHF 3,650.–",99,4rm
"Chemin François-Lehmann 28, 1218 Le Grand-Saconnex","CHF 3,690.–",110,6rm
"45, route de Colovrex, 1218 Le Grand-Saconnex","CHF 3,750.–",98,6rm
1218 Le Grand-Saconnex,"CHF 3,750.–",105,5.5rm
1218 Le Grand-Saconnex,"CHF 3,779.–",117,5rm
"sur demande, 1218 Le Grand-Saconnex","CHF 3,950.–",100,4rm
